,Surname,Surname Number,Awards,DBLP,Education Text,Text Vector
72,Éva Tardos,1069,5,98,Tardos's research interest is algorithmsShe has authored with      Jon Kleinberg Jon Kleinberg a textbook called Algorithm Design (style deduplicate,"[-0.86189145 -0.6757743   0.79708725 -0.5567525  -0.64497674 -0.8807952
 -0.49264696 -0.34421402 -0.06153756  0.36512548  0.16771412  0.01008225
 -0.81459683 -0.2999602  -0.07579934  0.3128099  -0.02189622 -0.52978843
  0.43260512  0.00593725 -0.9411924   0.04158374  0.5256725   0.13131502
 -0.20403123 -0.09728189  0.8392522  -0.18513027  1.2161995   0.19980174
  0.7566992   0.09470444  0.47177568 -0.76981044  0.5193058  -0.31824696
 -0.49774155  0.21320024  0.00446174 -0.05456974  0.41359818 -0.62504923
  0.13487366  0.62320614 -0.50172764  0.04722951 -0.20156518 -0.1578711
 -0.655467   -0.12062223  0.08995337 -0.30071747  0.29313684  0.43116963
 -0.2508581   0.67693925  0.02349225  0.57538515  0.54091555 -0.17604703
 -0.46457478  0.6137102  -0.1362838   0.86958635  0.35533518  0.4814704
  0.33526912  0.08090682  0.37234613  0.24255835 -0.03326457 -0.12786986
 -0.48196235  0.5499808   0.45042515  0.00351159  0.34399846  0.20295595
 -0.8979712   0.2887422   0.13950998 -0.02190538  0.00944947  1.3050265
  0.5499551  -0.5954804  -0.711382    0.9850989  -0.24209811  0.13629735
 -0.93692005 -0.01652768 -0.61034304  0.40441638 -0.57608294  0.9744285
  0.17618297 -0.83485705  0.55159     0.67169315]"
73,Oren Etzioni,1174,1,57,"Oren Etzioni (born 1964)          is an American entrepreneur, Professor Emeritus of computer science, and founding CEO of the      redirect    Allen Institute for Artificial Intelligence Allen Institute for Artificial Intelligence (AI2)Etzioni joined the      University of Washington University of Washington faculty in 1991, immediately after receiving his PhDEtzioni's research has been focused on basic problems in the study of intelligence,      redirect    Machine reading machine reading,      Machine learning machine learning and      redirect    Web search web searchEtzioni's research has been focused on basic problems in the study of intelligence,      redirect    Machine reading machine reading,      Machine learning machine learning and      redirect    Web search web search","[-0.11272112 -0.12261861 -0.05543378  0.31079075 -0.06511743 -0.20883106
 -0.19204447 -0.35895205  0.40130478  0.40861613  0.24122065 -0.5758439
 -0.6779943  -0.40501407 -0.587096    0.19033553 -0.36239743  0.18750247
  0.30870944  0.64846486 -0.4092527   0.00277443  0.03536279 -0.05564314
 -0.06157858  0.4232551   0.9865852  -0.41671935  0.09974865  0.14629424
  0.5154711   0.04917466  0.55439556 -0.34778735 -0.11078403 -0.32425183
  0.05860094 -0.3251432   0.13422325  0.3058763   0.2677689  -1.3172975
  0.10404375  0.35018355  0.07700306 -0.19535151 -0.0159545   0.11222925
 -0.2566172  -0.06220268  0.17808454  0.0949553  -0.05905451  0.41349956
  0.05308322  0.3925077   0.01165448 -0.24315943  0.7724001  -0.25689164
 -0.16531748 -0.00273752  0.04629961  0.13953891  0.5419648   0.5527796
  0.8579533   0.4886538   0.26471794  0.7269056  -0.5468565   0.8543038
  0.42093095  0.23724955  0.3699062  -0.13438319  0.7168461   0.55880517
 -0.8768123  -0.34818453  0.17667179 -0.07678546  0.05448422  0.5773731
  0.13287875  0.17839396 -0.37567332  0.27366605 -0.21958578  0.2173846
 -0.2353597   0.8304852  -0.43505326 -0.11766526 -0.12333459  1.0047776
  0.21716528 -0.4623148   0.447633    1.0913969 ]"
74,Peter Naur,950,2,73,,
75,Monica S. Lam,1074,0,19,"Lam joined the faculty of Computer Science at      Stanford University Stanford University in 1988Previously, Lam led the SUIF (Stanford University Intermediate Format) Compiler project,          which produced a widely used      compiler infrastructure known for its locality optimizations and interprocedural parallelizationIn another research project, her program analysis group developed a collection of tools for improving      redirect    Software security software security and reliabilityIn the Collective project, her research group and she developed the concept of a livePC","[-0.5045802  -0.01473923  0.17578433  0.48309568 -0.47714356 -0.6619877
 -0.10021713 -0.5014216   0.4608063   0.48095143 -0.02321981 -0.6862673
 -0.54177815 -0.52875614 -0.4683165   0.34048015 -0.36293912  0.0252232
  0.31255648  0.32875377 -0.17985447  0.06322045 -0.17046875  0.17455599
 -0.38100803  0.39029327  0.8349714  -0.25963253  0.40832272 -0.220845
  0.4259056  -0.10886686  0.16270754 -0.2885886  -0.37710115 -0.32657406
  0.05509723 -0.30604985  0.41244897  0.20718586  0.37191013 -1.2063853
 -0.18239966  0.25751036  0.02144146 -0.0642098   0.04656826  0.7321966
 -0.5017168  -0.01696206 -0.00808163  0.01947769  0.05926821  0.4917666
 -0.29988164  0.19140501  0.09212517 -0.26715723  0.74880356 -0.37880278
 -0.28093183 -0.18961501 -0.18174815 -0.09018733  0.5141836   0.63290447
  0.4941352   0.22137752 -0.09131177  0.7442467  -0.699857    0.7268686
  0.4421564   0.04102231  0.61513877 -0.49495345  0.03427255  0.8065015
 -0.6982616   0.00317928  0.3026918  -0.2588647  -0.08599495  0.4890824
  0.49843228 -0.2224434  -0.34667662  0.27890718 -0.0808477  -0.06192149
 -0.57345104  1.116608   -0.49840307 -0.09706203  0.49848193  1.113708
  0.15429294 -0.34840897  0.04642065  0.73356956]"
76,Daniel Klein,1120,2,60,,
77,Roberto Ierusalimschy,2143,0,28,,
78,Dr. Daniel Paul Friedman.,2167,0,60,"Daniel Paul Friedman (born 1944) is a professor of      redirect    Computer Science Computer Science at      Indiana University Bloomington Indiana University in      Bloomington, Indiana Bloomington, IndianaDaniel Paul Friedman (born 1944) is a professor of      redirect    Computer Science Computer Science at      Indiana University Bloomington Indiana University in      Bloomington, Indiana Bloomington, IndianaFriedman is also a prolific textbook authorFriedman is also the lead author of      Essentials of Programming Languages Essentials of Programming Languages, a textbook on programming languages","[-0.52741194  0.19577454  0.6363054   0.79603696 -0.12042093 -0.126735
  0.03547051  0.73708004 -0.12595177 -0.5859889   0.5407214  -0.67706984
 -0.69040674 -0.16923562 -0.6615264   0.2748572  -0.44263718 -0.16289964
 -0.34078047  0.74020004 -0.7005899   0.04960388 -0.44444722  0.08638463
 -0.17545675  0.44898456  0.8291401  -0.58883315  0.08142645  0.20686118
  0.03224105 -0.32074994  0.46134073 -0.47444025 -0.03486319  0.39768323
  0.14059854 -0.0101395  -0.16505039  0.26107967  0.31639665 -0.8982624
  0.14706084  0.6518533   0.04852743 -0.44903442  0.30938056 -0.0116925
 -0.6204019   0.2873872   0.2088608  -0.3419454  -0.03478716 -0.30304784
 -0.28276682 -0.16373014  0.4497041   0.2293416   0.74682605 -0.21204036
 -0.9140423  -0.14824185  0.04320036  0.15307043  0.17642777  1.041169
  0.7341951   0.46699715 -0.45304614  0.5470257  -0.8155321   0.47533152
  0.24701028 -0.17233413  0.13302238 -0.99165344  0.8534853   0.4998453
 -0.75080395  0.26236838 -0.59597605  0.06546822  0.09757566  1.1174259
 -0.04448203 -0.23966032 -0.15309775  0.08012525 -0.36264387 -0.0039305
 -0.6088539   0.7348347  -0.4607848   0.3623251  -0.11263976  0.6881612
  0.34956253 -0.14432931  0.42347842  0.9266143 ]"
79,David P. Anderson,1504,1,9,"David Pope Anderson (born 1955) is an American research scientist at the      Space Sciences Laboratory Space Sciences Laboratory, at the      University of California, Berkeley University of California, Berkeley, and an adjunct professor of computer science at the      University of Houston University of HoustonDavid Pope Anderson (born 1955) is an American research scientist at the      Space Sciences Laboratory Space Sciences Laboratory, at the      University of California, Berkeley University of California, Berkeley, and an adjunct professor of computer science at the      University of Houston University of HoustonDavid Pope Anderson (born 1955) is an American research scientist at the      Space Sciences Laboratory Space Sciences Laboratory, at the      University of California, Berkeley University of California, Berkeley, and an adjunct professor of computer science at the      University of Houston University of HoustonAnderson received a BA in mathematics from      Wesleyan University Wesleyan University, and MS and PhD degrees in mathematics and computer science from the   From 1985 to 1992 he was an assistant professor in the UC Berkeley Computer Science Department, where he received the NSF      Presidential Young Investigator Award Presidential Young Investigator and IBM Faculty Development awardsThe Berkeley Open System for Skill Aggregation (BOSSA) is a      Software framework software framework for      redirect    Distributed thinking distributed thinking,          using volunteers on the Internet to perform tasks that require human intelligence, knowledge, or cognitive skills","[-0.50262934  0.0785978   0.2848396   0.90670556 -0.49995586 -0.29753685
 -0.05960101  0.04761449  0.34313938  0.03785866  0.47634044 -0.8542794
 -0.15066378 -0.24928287 -0.53861916  0.49468914 -0.35508624 -0.01644314
  0.02144611  0.36632934 -0.0053176   0.07214674 -0.28110397  0.23426686
  0.03977357  0.24218859  0.879921   -0.09640834 -0.00281823  0.32759228
  0.3953809  -0.10325686  0.36344913 -0.0993459  -0.29225948  0.01416694
  0.14800698 -0.4399653   0.10458089  0.6006116   0.23568627 -1.1154486
 -0.3092907   0.43601686 -0.22330481 -0.47700292  0.3765993   0.17805007
 -0.4436138   0.48882976 -0.15998372 -0.31947026  0.06680655  0.23331016
 -0.00302432 -0.05856914  0.4720192  -0.4103632   1.0819896  -0.49504787
 -0.58183855 -0.19979401 -0.01642758 -0.2751362   0.23872939  1.2927175
  0.7256655   0.347995   -0.5676461   0.69522613 -0.74929047  0.8063573
  0.44706208 -0.11196978  0.211375   -0.80754703  0.5672324   0.42163226
 -0.9031125   0.35833776 -0.28574112 -0.24657066  0.10681538  0.9357807
  0.2823004   0.26195958 -0.29897457 -0.1464586  -0.22185946  0.19358404
 -0.37643617  0.67384946 -0.50699043 -0.29214162 -0.09512527  1.0168362
  0.1405811  -0.18890554  0.23208937  0.9123603 ]"
80,Vladimir N. Vapnik,1629,11,95,"At the end of 1990, Vladimir Vapnik moved to the      United States USA and joined the Adaptive Systems Research Department at   ","[ 0.09485707  0.07142054 -0.20845407  0.7425264  -0.29603067  0.01051832
 -0.10744555 -0.1046448   0.6828144   0.446339    0.16597767 -0.18333381
  0.37287238  0.10846587 -0.2811044   0.17743602  0.3663352  -0.15969914
 -0.35485163  0.5355302   0.78423834  0.5356127   0.37493503  0.55828017
 -0.22100215  0.4944434   0.8135872   0.45021102  0.0855915  -0.43043938
  0.11261641 -0.42459387  0.06253097  0.09736533 -0.5582302  -0.8235049
  0.4385717  -0.8583977   0.33889267  0.8451905   0.10175121 -0.4329029
 -0.1526332   0.15260175 -0.24017401  0.40958792 -0.3719307   0.12270962
 -0.54272795  0.4390272  -0.19028032 -0.23382059  0.30435425  0.48592165
  0.7550682   0.03437301  0.21632993 -0.4809739   1.5062703  -0.42504576
 -0.4715518   0.02841611  0.23545235 -0.17175677 -0.08464219  0.89001083
  0.45590627  0.4238965  -0.3637568   1.0224717  -0.59380376  0.63885957
  0.2683777  -0.49227884  0.24077669 -0.8382596   0.28916743  1.1324183
 -1.0088359   0.4321553   0.5430474  -0.44972375  0.16125774  0.5353515
  0.70971876  0.18105981 -0.26981974 -0.5998282  -0.18958177  0.09716252
 -0.4061605   0.8695486  -0.5204437  -0.70306104  0.6029841   0.3815941
 -0.24331665 -0.24893625  0.26205957  0.73064023]"
81,John Edward Hopcroft,1899,8,26,"In addition to his research work, he is well known for his books on      redirect    algorithms and      redirect    Formal languages formal languages coauthored with      Jeffrey Ullman Jeffrey Ullman and      Alfred Aho Alfred Aho, regarded as classic texts in the fieldIn addition to his research work, he is well known for his books on      redirect    algorithms and      redirect    Formal languages formal languages coauthored with      Jeffrey Ullman Jeffrey Ullman and      Alfred Aho Alfred Aho, regarded as classic texts in the fieldHopcroft was elected a member of the      National Academy of Engineering National Academy of Engineering in 1989 for fundamental contributions to computer algorithms and for authorship of outstanding computer science textbooksIn 2005, he was awarded an honorary doctorate by the University of Sydney, in Sydney, Australia","[-0.23549151 -0.2831174   0.08065604  0.21031876 -0.47274497 -0.2835461
 -0.21262166  0.10111716 -0.1437385   0.38402072 -0.0225881  -0.38569668
 -0.3995548  -0.39032772 -0.458799    0.23758772 -0.2925285  -0.3252153
  0.40153039  0.32675505 -0.21862881  0.09105207 -0.32443154  0.55748844
  0.2310833   0.33846167  0.8372469  -0.34350476  0.29412815 -0.6014222
  0.2692015  -0.20239441  0.0461813   0.03426826 -0.05823313 -0.10631899
  0.28889388 -0.37894484  0.3580715   0.319637    0.15577814 -0.6445017
 -0.00514931  0.3213745  -0.04131955  0.01989884  0.4587806   0.17428105
 -0.18361124  0.08546048  0.4711727   0.04061829 -0.41589782  0.4972938
 -0.2008804   0.0914615   0.37546566 -0.33048978  0.6192718  -0.3854028
 -0.07734091  0.1359794   0.12828818 -0.02710602  0.64934486  0.76103806
  0.35251647  0.21739276 -0.00604499  0.37029007 -0.14111531  0.76381123
 -0.12250674 -0.01883317  0.42541352 -0.48887494  0.2998435   0.7279244
 -0.6239848   0.1627662  -0.06006175 -0.02382105 -0.09585985  0.49909854
  0.27170464  0.13327147 -0.07352562  0.21242927 -0.485516   -0.12645184
 -0.70597893  0.43431687 -0.06760143  0.26598832  0.1316852   0.51313716
  0.2985256  -0.10273901  0.24741744  0.6181687 ]"
82,Bill Gates,919,4,47,"The four students formed the Lakeside Programmers Club to make moneyThe following year, a Lakeside teacher enlisted Gates and Evans to automate the school's scheduling system, providing them computer time and royalties in returnThe following year, a Lakeside teacher enlisted Gates and Evans to automate the school's scheduling system, providing them computer time and royalties in returnGates devised an algorithm for      Pancake sorting pancake sorting as a solution to one of a series of unsolved problems          presented in a      combinatorics class by professor   On February 18, 2021, after      Facebook and      Twitter had banned      Donald Trump Donald Trump from their platforms as a result of the   Gates studied the work of      Andrew Carnegie Andrew Carnegie and   Melinda Gates suggested that people should emulate the philanthropic efforts of the Salwen family, who sold their home and gave away half of its value, as detailed in their book,      The Power of Half The Power of HalfIn June 2018, Gates offered free      ebooks, to all new graduates of UGates has so far authored four booksGates and the projects of his foundation have been the subject of many conspiracy theories that proliferate on Facebook and elsewhere","[ 0.09878286 -0.18792167 -0.15022445  0.3933744  -0.46577853  0.01527378
 -0.04194348 -0.46902546  0.13372545  0.39450037 -0.2663808  -0.4120071
 -0.49013963  0.02129951 -0.44758496  0.39119694 -0.20922104 -0.17010802
  0.46225765  0.5258499  -0.12579383  0.25624582 -0.03043183  0.22717807
  0.35647276  0.370261    0.8899073   0.18706045  0.28261378 -0.6849314
  0.3023459  -0.10185223 -0.35150772  0.00094685 -0.50793326 -0.63510764
  0.22015944 -0.40360957  0.11867989  0.2766233  -0.14285645 -0.7177763
 -0.00174049  0.06345269  0.02872026  0.12952952 -0.04285522  0.29054838
 -0.17578417 -0.1758959   0.33794546  0.19323555 -0.21948504  0.51367164
  0.17501903  0.01863747 -0.01839553 -0.54118484  0.7815018  -0.5661952
  0.14467908  0.09431639  0.1066836  -0.06027854  0.38150784  0.5859147
 -0.02283507 -0.03886419  0.24697077  0.37943256 -0.34604788  0.57473224
  0.02265693 -0.18751799  0.3334611  -0.40197957 -0.08720264  0.6488094
 -0.7745411   0.41037875  0.43518564 -0.2661553  -0.29752815  0.2284443
  0.31552055  0.20361397  0.06279252 -0.15331846 -0.08979546 -0.19749305
 -0.47325382  0.54632753 -0.33334076 -0.00216775  0.24653508  0.26602715
 -0.08932666  0.02300878 -0.10947597  0.17550334]"
83,George Novacky,1364,0,39,Novacky first received a mathematics degree from      Wheeling University Wheeling Jesuit College in 1968He was an Associate Professor of Mathematics at the      Community College of Allegheny County Community College of Allegheny County from 1977 to 1985He has been a faculty member of the University of Pittsburgh's Department of Computer Science since 1985,"[-0.5069891   0.23134282  0.23429652  0.6825136  -0.8192293  -0.42780653
 -0.38928574  0.46298197  0.45739502  0.11101206  0.2420767  -0.8814329
 -0.57144064  0.19917719 -0.56686366  0.70373404 -0.29037014 -0.01199162
  0.2650088   0.41710898 -0.06975906  0.05596844 -0.08994795  0.33203673
  0.14072578  0.5789841   0.88953     0.3236567   0.2567059  -0.32904172
  0.3926057  -0.34435162  0.15900384  0.53382504 -0.03321422 -0.01798542
  0.32403913 -0.5129414   0.23425373  0.90466577  0.10338836 -0.66375244
 -0.6768616   0.30167508 -0.54463595 -0.3738176   0.39339316  0.20760997
 -0.20910673  0.5581809  -0.13454518 -0.518864   -0.03763057  0.5033298
  0.02130069 -0.2629754   0.58932716 -0.12902793  1.2760473  -0.65879303
 -0.45759258 -0.088917   -0.12337244 -0.55449986  0.36570853  1.4252361
  0.50450045  0.23245256 -0.25173736  0.5628459  -0.80304086  0.6091757
  0.2162659  -0.65999305 -0.01359364 -1.3215232   0.43819934  0.17084426
 -0.7899885   1.0022043  -0.68643725 -0.10316914  0.40454632  1.1091427
  0.28342122  0.5382004   0.15567578 -0.38941252 -0.47751397 -0.1380114
 -0.46494213  0.83506715 -0.6508671  -0.01039863  0.05096925  0.9198
  0.21459447 -0.22510749  0.04715744  0.8122092 ]"
84,Susan L. Graham,1300,5,39,Graham's research projects includeGraham is married to professor emeritus   ,"[-0.55052066  0.23867188  0.3730373   0.72994876 -0.37959632 -0.10901716
 -0.16961914  0.23711514 -0.1291407  -0.30340955  0.03191565 -0.58414793
 -0.07275026 -0.39687845  0.7556177  -0.43613932 -0.5661684  -0.53569704
  0.51207256  0.55243534 -0.09744241 -0.03463889 -0.55784434  1.0124929
  0.49084166  0.35538694  0.49451104 -0.37281647  0.75288147  0.3488966
  0.41593257  0.36172804  0.27154532 -0.08420387  0.19953945  0.72520316
 -0.10596815 -0.19242793 -0.1602757   0.02943972  0.29407325 -0.22646841
 -0.35284546  0.43162566 -0.87194914 -0.70173013 -0.3069476  -0.38528204
 -0.94152206  0.3761081   0.02599035 -0.68708533 -0.34521407 -0.23713847
 -0.02940479  0.5734848   0.24488853 -0.5380739   0.6809561  -0.4643263
 -0.17943247  0.56132764 -0.48153037  0.43029022 -0.05091508  0.4822212
  0.43424267  0.3224769  -0.49016207  0.2476065  -0.3544951   1.2124112
  0.1464957   0.34134912 -0.03241279 -0.4214054   1.3614106   0.4439852
 -0.98924595  0.13608181 -0.35060823 -0.46217114 -0.14806151  1.8248196
 -0.2022351   0.02310323  0.19888361 -0.07603903 -0.09032034  0.13200797
 -0.5777978   0.4061841  -0.74089414  0.5415106  -0.14567521  1.6325523
  0.29745588 -0.5417229   0.4103572   0.94285405]"
85,He Jifeng,800,0,59,"He Jifeng graduated from the      mathematics department of      Fudan University Fudan University in 1965From 1984 to 1998, He Jifeng was a senior research fellow at the      Programming Research Group Programming Research Group in the Oxford University Computing Laboratory (now the      redirect    Oxford University Department of Computer Science Oxford University Department of Computer Science)From 1984 to 1998, He Jifeng was a senior research fellow at the      Programming Research Group Programming Research Group in the Oxford University Computing Laboratory (now the      redirect    Oxford University Department of Computer Science Oxford University Department of Computer Science)Since 1986, He Jifeng has been Professor of Computer Science at      East China Normal University East China Normal University in ShanghaiSince 1986, He Jifeng has been Professor of Computer Science at      East China Normal University East China Normal University in ShanghaiIn 1998, he became a senior research fellow at the      redirect    International Institute for Software Technology International Institute for Software Technology (IIST),      United Nations University United Nations University, based in      MacauIn 1998, he became a senior research fellow at the      redirect    International Institute for Software Technology International Institute for Software Technology (IIST),      United Nations University United Nations University, based in      MacauHe Jifeng's research interests include sound methods for the specification of computer systems, communications, applications, standards, and techniques for designing and implementing those specifications in software andHe Jifeng has written a number of computer science books, including","[-0.5292054   0.27252802  0.26285118  0.827557   -0.5777113  -0.62880117
 -0.10740614 -0.14735635  0.39661252  0.15939088  0.39024934 -0.63093704
 -0.5063126  -0.3698916  -0.647315    0.38928345 -0.62356645  0.43127382
  0.19456893  0.6668956   0.06512243  0.15623066 -0.4160764   0.22175112
 -0.18503135  0.5424538   0.8137643  -0.10732385  0.32624677 -0.09683078
  0.43970278 -0.10467266  0.51608527  0.14988032 -0.14913183 -0.15732566
  0.20330368 -0.60364765  0.4568893   0.4769201   0.03577738 -1.0334733
 -0.18300088  0.45133796 -0.22532403 -0.13858125  0.33056527  0.4585191
 -0.32767263  0.43387616  0.02611276 -0.42079222  0.31011888  0.3020872
 -0.34910616  0.048397    0.3128983   0.0264629   1.2458178  -0.5732374
 -0.66652185 -0.20952323 -0.18016164 -0.2576033   0.47418737  1.3120011
  0.8532989   0.6870597  -0.41035563  1.1555682  -1.0824122   0.7083396
  0.1695713  -0.27207503  0.5228888  -0.9481214   0.3310013   0.8877395
 -0.8075683   0.10753767 -0.19782068 -0.2257066   0.17875582  1.0892746
  0.7479607   0.01712961 -0.06740768  0.26703086 -0.5359587   0.16302206
 -0.39400676  0.86434966 -0.90974796  0.03067661  0.07876626  1.1264794
 -0.04305858 -0.4548408   0.3158564   1.1930857 ]"
86,Randy Pausch,1154,5,11,"Pausch learned he had      Pancreatic cancer pancreatic cancer in September 2006Pausch was an assistant and associate professor in the Department of Computer Science at the      University of Virginia University of Virginia's School of Engineering and Applied Science from 1988 until 1997Pausch was an assistant and associate professor in the Department of Computer Science at the      University of Virginia University of Virginia's School of Engineering and Applied Science from 1988 until 1997Pausch was an assistant and associate professor in the Department of Computer Science at the      University of Virginia University of Virginia's School of Engineering and Applied Science from 1988 until 1997Pausch delivered his  Last Lecture , titled  Really Achieving Your Childhood Dreams , at CMU on September 18, 2007During the lecture, Pausch offered inspirational life lessons, and performed ups on stageCMU president      Jared Cohon Jared Cohon spoke emotionally of Pausch's humanity and called his contributions to the university and to education  remarkable and stunning Pausch gave a lecture about      Time management time management          on November 27, 2007, at the University of Virginia, to an audience of over 850 peoplePausch gave a lecture about      Time management time management          on November 27, 2007, at the University of Virginia, to an audience of over 850 people","[-0.08137809 -0.11162263 -0.00585019  0.67607874 -0.31335548 -0.06481504
 -0.07105775 -0.0310032   0.03747373  0.21636981  0.23437105 -0.5930783
 -0.18975024  0.25825897 -0.5269031   0.58121824 -0.15565085 -0.03350831
  0.1672502   0.5080092  -0.02925083  0.4758781  -0.25765708  0.40305626
  0.30983195  0.32998195  1.0225284   0.13609721  0.26474828 -0.2787942
  0.22134253  0.05544758  0.07277936  0.27876124 -0.28605226 -0.35566735
 -0.15193254 -0.4902201   0.25640574  0.89670247  0.250952   -0.7982102
 -0.41100714  0.15170583 -0.43402845 -0.07511784  0.12329172  0.38391396
 -0.4061121   0.30992022  0.01351717 -0.07076539 -0.02789095  0.27999845
  0.34663954  0.06246474  0.37566897 -0.5028156   1.1331779  -0.7421756
 -0.25218493 -0.04653183  0.14412832 -0.23203157  0.2987315   0.91643614
  0.37061253  0.33739632 -0.06614944  0.863283   -0.5088677   0.79342127
  0.28306636 -0.51427007 -0.02346342 -0.9755821   0.40974224  0.4402924
 -0.83860135  0.58027446 -0.30606908 -0.27716607 -0.12473989  0.648576
  0.18168156  0.46641022  0.03061632 -0.4293881  -0.26612204  0.26323968
 -0.24128444  0.8277131  -0.38150236 -0.32380787  0.04862368  0.7224295
  0.22750066 -0.19599108  0.2964175   0.688144  ]"
87,Austin Tate,1058,1,32,Tate's research interests are in      Artificial intelligence Artificial intelligence,"[-0.3552149   0.07051161 -0.13117893 -0.20534359  0.8940885  -0.52526385
 -0.46411642 -0.5924953   1.3352743   0.06151957  1.1700821   0.5930071
 -0.47991064 -0.46748474 -1.1246217  -0.2838908  -0.5061011   0.2821693
  0.293755    0.6122773   0.17998946 -0.70879924 -0.41396958 -0.13572432
  0.26728365 -0.55107486  0.7933451  -0.84400624 -0.28758627  0.827361
  0.46074083  0.3090761   0.25153285  0.42124313  0.87857556 -0.71378917
 -0.09107015  0.11255126  1.3065609   0.09183615 -0.0866795  -1.0302063
  0.35293978  0.80419296 -0.04994246 -0.31414026  0.44255805 -0.37678134
  0.11622838  0.5549386  -0.40586853 -0.242119   -0.16004977  0.04630293
 -0.73807865  0.46195424  0.21909264 -0.00648289 -0.17482656 -0.10804837
  0.7269979   0.08459281 -0.3106575   1.4152099   0.27210966  0.882437
  1.7044971   0.05220675 -0.1948451   1.7017039  -1.3775239   1.1857417
  0.22073     0.53158915  0.16520227  0.80217606  0.18711706  1.4564869
 -1.3316303  -1.1889374   0.603655    0.0814569   0.44124556  1.2576652
  0.42178833  0.21537068 -0.6583448   0.3369784  -0.07337771 -0.23305792
 -0.37553766  0.03887631 -0.47432634  0.22248594  0.08211266  0.12167756
 -0.32029128 -1.7438574   0.6249396   1.5340632 ]"
88,Walter John Savitch,1808,0,45,"Aside from his work in      Theoretical computer science theoretical computer science, Savitch wrote a number of textbooks for learning to program in   Aside from his work in      Theoretical computer science theoretical computer science, Savitch wrote a number of textbooks for learning to program in   Savitch received his PhD in      mathematics from      University of California, Berkeley University of California, Berkeley in 1969 under the supervision of      Stephen Cook Stephen Cook","[ 0.1383544  -0.09185208  0.04676818  0.43208966 -0.4264537  -0.11063723
 -0.22750781 -0.22461234  0.24469888  0.56768453  0.5336582  -0.62561303
 -0.537536   -0.5106119  -0.71681297  0.8262879  -0.6198799   0.17842638
  0.4277437   0.6816351  -0.72512704 -0.09292934 -0.3615725   0.43027666
  0.45823455  0.42889437  1.1847659  -0.19002618  0.20128585 -0.28064546
  0.4782061   0.06641495  0.00946663 -0.0720056  -0.41228795  0.06007594
 -0.14609122 -0.07300728  0.558513    0.21821505  0.32355684 -1.3367842
 -0.05100551  0.55109733  0.18555379 -0.0935832   0.25133076  0.40390036
 -0.35189542  0.24351816  0.27196532 -0.3855081  -0.16295876  0.1263499
 -0.01310041 -0.12529525  0.43444675 -0.00885522  1.156356   -0.74852556
 -0.34024152 -0.18586883  0.15992323 -0.14332992  0.5428798   0.7915047
  0.5197226   0.3425432  -0.12735024  0.7952627  -0.5938022   0.6117365
  0.23017311 -0.17044863  0.31316677 -1.1813607   0.6949285   0.4929187
 -0.75937223  0.30186906 -0.39049026 -0.597919   -0.2822275   0.73979455
  0.40625662  0.28068087 -0.09201458  0.05690202 -0.48604387 -0.0950802
 -0.3577343   0.8333033  -0.6109817   0.01020002  0.01351627  0.87887037
  0.14089663 -0.03972028  0.3105539   0.32335767]"
89,Joseph Yehuda Halpern,2003,3,14,"Joseph Yehuda Halpern (born 1953) is an  American professor of      Computer science computer science at      Cornell University Cornell UniversityJoseph Yehuda Halpern (born 1953) is an  American professor of      Computer science computer science at      Cornell University Cornell UniversityHalpern graduated in 1975 from      University of Toronto University of Toronto with a BIn 2019, Halpern was elected a member of the      National Academy of Engineering National Academy of Engineering for methods of reasoning about knowledge, belief, and uncertainty and their applications to distributed computing and multiagent systemsHalpern is also the administrator for the Computing Research Repository, the computer science branch of   His students include      Nir Friedman Nir Friedman,      Daphne Koller Daphne Koller, and      Yoram Moses Yoram Moses","[-0.32827795  0.33037797  0.27225906  0.64599067 -0.3620652  -0.22118904
  0.07887764  0.11022912  0.0404744   0.07745357  0.4191042  -0.6383552
 -0.44247764 -0.3043135  -0.65530944  0.53824556 -0.40848377  0.02121212
 -0.01539687  0.42235193 -0.14764185  0.00407735 -0.40616947  0.14682718
  0.09433243  0.20775285  1.0300686  -0.2534812   0.03533054 -0.10354584
  0.20599347 -0.1894682   0.24919744 -0.25305578 -0.08351088 -0.12303277
  0.02408959 -0.33449075  0.11004502  0.530719    0.14513744 -0.6826019
 -0.30616415  0.296387   -0.20992392 -0.34781078  0.28598502  0.27186298
 -0.37265274  0.3190294   0.06156738 -0.304008   -0.19194399  0.19405733
 -0.28316718 -0.18535541  0.48173317 -0.18082546  0.97349    -0.6229927
 -0.36854228 -0.32183447  0.02299592 -0.06603542  0.34791595  1.0965432
  0.7331446   0.10159868 -0.28095937  0.6171749  -0.47102147  0.6856488
  0.2726955  -0.04590012  0.04463479 -0.686023    0.52030015  0.62961173
 -0.89443266  0.02359389 -0.28133163 -0.09768306  0.1781315   0.8309762
  0.207395    0.07937585 -0.18112592 -0.02042041 -0.3776949   0.03117043
 -0.43703702  0.9015342  -0.40551025  0.03571308 -0.02660397  0.85532457
  0.06031923 -0.21763892  0.19727147  0.7952342 ]"
